col1 col2 weight
YAL017W YPR034W 288
YAL018C YDL017W 294
YAL018C YMR001C 294
YAL019W YAL026C 289
YAL019W YBL088C 583
YAL019W YBR084W 602
YAL019W YDL097C 218
YAL019W YDL147W 289
YAL019W YFR052W 288
YAL019W YIL035C 288
YAL019W YIL075C 198
YAL019W YJL090C 581
YAL019W YJR119C 289
YAL019W YLR027C 289
YAL019W YOL090W 297
YAL020C YBL071W-A 920
YAL021C YCR093W 959
YAL021C YDL149W 220
YAL021C YDL165W 808
YAL021C YDR188W 591
YAL021C YDR252W 662
YAL021C YDR443C 334
YAL021C YER068W 808
YAL021C YER165W 498
YAL021C YFL028C 334
YAL021C YGL195W 603
YAL021C YGR092W 626
YAL021C YGR134W 808
YAL021C YIL038C 808
YAL021C YKR036C 334
YAL021C YLL013C 220
YAL021C YNL025C 498
YAL021C YNL288W 808
YAL021C YNR052C 959
YAL021C YPL042C 334
YAL021C YPR072W 808
YAL022C YGL132W 196
YAL023C YBR159W 289
YAL023C YCR043C 585
YAL023C YDL093W 536
YAL023C YDL095W 667
YAL023C YDR245W 100
YAL023C YDR307W 201
YAL023C YEL036C 662
YAL023C YGR199W 279
YAL023C YJL183W 57
YAL023C YJR075W 56
YAL023C YJR143C 581
YAL023C YML115C 199
YAL023C YOR321W 808
YAL024C YAL016W 759
YAL024C YDR516C 197
YAL024C YGR152C 560
YAL024C YHR158C 808
YAL024C YIR009W 297
YAL024C YLR229C 353
YAL024C YML064C 445
YAL024C YMR124W 192
YAL024C YNL098C 581
YAL024C YNL312W 289
YAL024C YOR101W 319
YAL024C YOR233W 581
YAL024C YPR140W 662
YAL025C YBL027W 800
YAL025C YBL028C 800
YAL025C YCL054W 800
YAL025C YDL136W 800
YAL025C YDL191W 800
YAL025C YDR060W 135
YAL025C YDR083W 63
YAL025C YDR087C 852
YAL025C YER002W 809
YAL025C YER006W 800
YAL025C YER056C-A 800
YAL025C YER102W 63
YAL025C YER126C 800
YAL025C YGL076C 800
YAL025C YGL078C 216
YAL025C YGL111W 849
YAL025C YGR103W 850
YAL025C YGR218W 81
YAL025C YHL001W 800
YAL025C YHR052W 800
YAL025C YHR066W 864
YAL025C YHR088W 837
YAL025C YKL009W 800
YAL025C YKL172W 831
YAL025C YKL180W 800
YAL025C YKR081C 273
YAL025C YLL008W 103
YAL025C YLR002C 817
YAL025C YLR009W 836
YAL025C YLR074C 68
YAL025C YLR185W 800
YAL025C YMR049C 800
YAL025C YMR290C 812
YAL025C YNL002C 842
YAL025C YNL061W 807
YAL025C YNL110C 955
YAL025C YNR038W 101
YAL025C YOL041C 135
YAL025C YOL077C 837
YAL025C YOL127W 800
YAL025C YOR063W 800
YAL025C YOR206W 280
YAL025C YOR267C 421
YAL025C YOR272W 800
YAL025C YPL043W 275
YAL025C YPL093W 819
YAL025C YPL211W 800
YAL025C YPR016C 800
YAL025C YPR143W 832
YAL026C YAL019W 289
YAL026C YAL053W 632
YAL026C YCR094W 585
YAL026C YDL019C 289
YAL026C YDR054C 288
YAL026C YKL010C 296
YAL026C YLR447C 609
YAL026C YML069W 289
YAL026C YNL323W 585
YAL027W YBR196C 597
YAL027W YCL011C 158
YAL027W YCL024W 636
YAL027W YCR009C 233
YAL027W YCR028C-A 288
YAL027W YDR064W 197
YAL027W YDR174W 597
YAL027W YDR381W 608
YAL027W YDR388W 289
YAL027W YDR507C 632
YAL027W YER049W 288
YAL027W YGL106W 199
YAL027W YGL173C 198
YAL027W YIL069C 200
YAL027W YIL095W 289
YAL027W YIL105C 288
YAL027W YKL182W 201
YAL027W YLL018C 582
YAL027W YLR044C 565
YAL027W YLR170C 288
YAL027W YLR429W 269
YAL027W YML095C 659
YAL027W YMR128W 220
YAL027W YNL106C 288
YAL027W YOL086C 565
YAL027W YOR294W 198
YAL027W YPL022W 637
YAL027W YPL146C 289
YAL027W YPR171W 288
YAL028W YMR186W 288
YAL029C YBR081C 565
YAL029C YBR109C 296
YAL029C YBR130C 959
YAL029C YDL074C 292
YAL029C YDR101C 565
YAL029C YDR155C 289
YAL029C YDR457W 288
YAL029C YER110C 565
YAL029C YFL039C 565
YAL029C YGL106W 710
YAL029C YGL195W 565
YAL029C YGL213C 288
YAL029C YHR023W 696
YAL029C YJL080C 297
YAL029C YKL018W 289
YAL029C YKL124W 654
YAL029C YKL130C 808
YAL029C YLR196W 291
YAL029C YLR249W 565
YAL029C YLR274W 280
YAL029C YLR304C 289
YAL029C YMR075W 288
YAL029C YMR186W 565
YAL029C YMR309C 565
YAL029C YOL086C 565
YAL029C YOR326W 498
YAL029C YPL213W 60
YAL029C YPL240C 565
YAL030W YAL014C 297
YAL030W YBL050W 585
YAL030W YBR080C 197
YAL030W YDL192W 197
YAL030W YDR027C 297
YAL030W YDR164C 498
YAL030W YDR189W 787
YAL030W YDR468C 536
YAL030W YGR009C 913
YAL030W YMR183C 585
YAL030W YNL243W 75
YAL030W YNR049C 305
YAL030W YOL018C 536
YAL030W YOR036W 297
YAL030W YOR106W 297
YAL030W YOR327C 585
YAL030W YPL232W 912
YAL031C YER133W 339
YAL031C YNL317W 588
YAL032C YBR055C 60
YAL032C YBR065C 800
YAL032C YBR119W 808
YAL032C YBR188C 314
YAL032C YCR020C-A 75
YAL032C YCR063W 851
YAL032C YDL043C 909
YAL032C YDL209C 959
YAL032C YDR163W 831
YAL032C YDR364C 954
YAL032C YDR416W 959
YAL032C YDR482C 850
YAL032C YER013W 959
