,gene,int
682,YKR084C,683
683,YML133C,684
684,YNR003C,685
685,YDR219C,686
686,YCR006C,687
687,YBL112C,688
688,YMR186W,689
689,YNR006W,690
690,YNL221C,691
691,YMR182W-A,692
692,YDR197W,693
693,YPL051W,694
694,YBR003W,695
695,YDL052C,696
696,YLR335W,697
697,YBR202W,698
698,YGR047C,699
699,YPR179C,700
700,YEL017W,701
701,YHR218W,702
702,YNL106C,703
703,YIL136W,704
704,YDR282C,705
705,YNL051W,706
706,YBL080C,707
707,YPL181W,708
708,YJR110W,709
709,YOR216C,710
710,YNL232W,711
711,YJR135W-A,712
712,YBL026W,713
713,YGL092W,714
714,YEL020C,715
715,YPR051W,716
716,YNL014W,717
717,YHL031C,718
718,YER017C,719
719,YNR070W,720
720,YMR199W,721
721,YDR288W,722
722,YIL129C,723
723,YMR293C,724
724,YNL211C,725
725,YPR081C,726
726,YNL029C,727
727,YBL083C,728
728,YPL055C,729
729,YJL004C,730
730,YOL010W,731
731,YGR227W,732
732,YNR017W,733
733,YKR024C,734
734,YOR032W-A,735
735,YPR104C,736
736,YNL021W,737
737,YDR484W,738
738,YKL042W,739
739,YIL157C,740
740,YJL197W,741
741,YKL045W,742
742,YDR204W,743
743,YKL213C,744
744,YJR151C,745
745,YNL283C,746
746,YML049C,747
747,YOL094C,748
748,YNL010W,749
749,YGR251W,750
750,YGR072W,751
751,YOR353C,752
752,YPR049C,753
753,YDR527W,754
754,YHR111W,755
755,YOL044W,756
756,YDL197C,757
757,YOL135C,758
758,YNL067W-B,759
759,YFR051C,760
760,YHR050W-A,761
761,YGR133W,762
762,YGL163C,763
763,YBR227C,764
764,YHR039C-A,765
765,YHL036W,766
766,YGL167C,767
767,YKR067W,768
768,YAL056C-A,769
769,YGL091C,770
770,YAR003W,771
771,YBR077C,772
772,YLR169W,773
773,YLR320W,774
774,YNL047C,775
775,YJR116W,776
776,YKR083C,777
777,YOR184W,778
778,YDR027C,779
779,YIR014W,780
780,YPL263C,781
781,YNL041C,782
782,YDR504C,783
783,YLR439W,784
784,YER084W,785
785,YLR460C,786
786,YKL110C,787
787,YDR456W,788
788,YER012W,789
789,YCR087C-A,790
790,YMR263W,791
791,YNL153C,792
792,YLR066W,793
793,YBR193C,794
794,YJL166W,795
795,YJL136W-A,796
796,YOR261C,797
797,YMR030W-A,798
798,YPL029W,799
799,YML080W,800
800,YJR065C,801
801,YDR243C,802
802,YLR242C,803
803,YER172C,804
804,YPR019W,805
805,YDR090C,806
806,YLR055C,807
807,YER173W,808
808,YLR091W,809
809,YDL051W,810
810,YPL015C,811
811,YER105C,812
