YEAST_ID	GO_ID	Level
852188	GO:0003735	2
852189	GO:0005215	1
852189	GO:0005290	4
852189	GO:0005302	5
852189	GO:0005313	4
852189	GO:0015171	5
852189	GO:0015189	5
852189	GO:0015194	6
852189	GO:0061459	6
852635	GO:0000033	6
852635	GO:0016740	2
852635	GO:0016757	3
852632	GO:0004190	6
852630	GO:0005199	2
856748	GO:0003882	6
856748	GO:0016740	2
856748	GO:0016780	4
856749	GO:0004679	2
856749	GO:0019901	5
856746	GO:0000049	5
856746	GO:0000166	3
856746	GO:0003743	4
856746	GO:0003924	7
856746	GO:0005515	2
856746	GO:0005525	5
856746	GO:0031369	3
856747	GO:0030533	3
856744	GO:0004735	5
856744	GO:0016491	2
856745	GO:0004092	7
856745	GO:0016740	2
856745	GO:0016746	3
856742	GO:0030234	2
856743	GO:0000979	8
856743	GO:0001139	6
856743	GO:0003712	2
856743	GO:0033613	5
856740	GO:0005086	3
856740	GO:0015450	4
856741	GO:0000166	3
856741	GO:0001664	4
856741	GO:0003924	7
856741	GO:0005525	5
856741	GO:0019001	5
856741	GO:0031683	3
856741	GO:0046872	4
854921	GO:0000175	6
854921	GO:0004518	4
854921	GO:0004519	5
854921	GO:0004527	5
854921	GO:0004535	7
854921	GO:0016787	2
853329	GO:0003723	4
853328	GO:0030533	3
854924	GO:0008519	5
854924	GO:0080139	4
854925	GO:0000009	6
854926	GO:0016251	3
854927	GO:0003677	4
854927	GO:0003680	7
853322	GO:0003824	1
853322	GO:0004750	5
853322	GO:0016853	2
853322	GO:0016857	4
853322	GO:0046872	4
853327	GO:0042393	3
853325	GO:0051082	3
856907	GO:0003723	4
854672	GO:0008517	4
854672	GO:0015230	4
854672	GO:0022857	2
854673	GO:0003723	4
854673	GO:0003729	5
854673	GO:0003735	2
854675	GO:0000978	8
854675	GO:0000981	3
854675	GO:0001227	4
854675	GO:0001228	4
854675	GO:0003677	4
854675	GO:0003682	2
854675	GO:0003688	7
854675	GO:0003700	2
854675	GO:0019237	7
854675	GO:0043565	5
854676	GO:0000981	3
854676	GO:0003677	4
854676	GO:0008270	6
854676	GO:0043565	5
854676	GO:0046872	4
852988	GO:0015234	4
852988	GO:0022857	2
852988	GO:0090422	4
852989	GO:0016247	2
852458	GO:0000030	5
852458	GO:0016740	2
852452	GO:0030544	4
852452	GO:0043022	4
852452	GO:0051879	4
852453	GO:0030295	5
852450	GO:0008703	5
852450	GO:0016491	2
852450	GO:0050661	4
852451	GO:0001054	6
852451	GO:0001055	6
852451	GO:0001056	6
852451	GO:0003677	4
852451	GO:0003899	5
852451	GO:0003968	5
852456	GO:0016491	2
852456	GO:0045703	4
852456	GO:0102339	5
852456	GO:0102340	5
852456	GO:0102341	5
852456	GO:0102342	5
852457	GO:0000166	3
852457	GO:0000993	5
852457	GO:0004672	3
852457	GO:0004674	4
852457	GO:0004693	3
852457	GO:0005524	3
852457	GO:0016301	4
852457	GO:0016740	2
852457	GO:0030332	3
852457	GO:0042393	3
852455	GO:0004842	4
852455	GO:0031267	5
856290	GO:0000166	3
856290	GO:0004672	3
856290	GO:0004674	4
856290	GO:0004693	3
856290	GO:0005524	3
856290	GO:0008134	3
856290	GO:0008353	5
856290	GO:0016301	4
856290	GO:0016740	2
856290	GO:0030332	3
856290	GO:0044212	5
854919	GO:0008137	6
854919	GO:0016491	2
