YEAST_ID	GO_ID	Level
852189	GO:0005773	4
852189	GO:0005774	3
852189	GO:0016020	1
852189	GO:0016021	3
852634	GO:0005737	3
852634	GO:0005783	4
852634	GO:0005829	4
852634	GO:0071944	2
852635	GO:0000139	4
852635	GO:0000329	5
852635	GO:0005794	4
852635	GO:0016020	1
852635	GO:0016021	3
852635	GO:0071944	2
852632	GO:0005576	1
852632	GO:0009277	4
852630	GO:0009277	4
856558	GO:0000794	5
856748	GO:0005739	4
856748	GO:0005741	4
856748	GO:0005783	4
856748	GO:0005789	2
856748	GO:0016020	1
856748	GO:0016021	3
856748	GO:0031090	2
856748	GO:0043231	3
856749	GO:0005634	4
856749	GO:0005641	4
856749	GO:0005737	3
856749	GO:0031588	3
856746	GO:0005737	3
856746	GO:0005829	4
856746	GO:0005850	2
856746	GO:0016282	4
856746	GO:0033290	4
856746	GO:0043614	3
856747	GO:0005829	4
856744	GO:0005737	3
856745	GO:0005737	3
856745	GO:0005829	4
856742	GO:0000502	3
856742	GO:0008541	2
856743	GO:0005634	4
856743	GO:0016592	2
856743	GO:0070847	5
856740	GO:0005783	4
856740	GO:0005784	4
856740	GO:0005789	2
856740	GO:0016020	1
856740	GO:0016021	3
856740	GO:0031205	3
856740	GO:0071261	4
856741	GO:0005739	4
856741	GO:0005829	4
856741	GO:0005834	3
856741	GO:0005886	2
856741	GO:0016020	1
854920	GO:0005737	3
853329	GO:0000943	4
853328	GO:0005829	4
854924	GO:0005773	4
854924	GO:0005886	2
854924	GO:0016020	1
854924	GO:0016021	3
854924	GO:0071944	2
854925	GO:0000136	3
854925	GO:0000139	4
854925	GO:0005783	4
854925	GO:0005789	2
854925	GO:0005794	4
854925	GO:0016020	1
854925	GO:0016021	3
854926	GO:0005634	4
854926	GO:0005669	5
854927	GO:0005634	4
854927	GO:0005829	4
853323	GO:0016020	1
853323	GO:0016021	3
853322	GO:0005737	3
853322	GO:0005829	4
853320	GO:0005634	4
853320	GO:0005737	3
853327	GO:0000781	5
853327	GO:0005634	4
853327	GO:0005829	4
